ExperimentName,Subject,Trial,CogLoadCond,ReproSize,RespStartSize,Actual,correct,bias,biasculled
CogLoadLineNumber,1,1,Low,132,132,160,1,-28,
CogLoadLineNumber,1,2,High,292,291,320,1,-28,
CogLoadLineNumber,1,3,Low,306,306,128,1,,178
CogLoadLineNumber,1,4,High,172,173,224,1,-52,
CogLoadLineNumber,1,5,Low,164,163,160,1,4,
CogLoadLineNumber,1,6,High,212,211,128,0,84,
CogLoadLineNumber,1,7,High,110,110,256,1,,-146
CogLoadLineNumber,1,8,Low,304,305,224,1,80,
CogLoadLineNumber,1,9,Low,220,219,224,1,-4,
CogLoadLineNumber,1,10,Low,120,120,320,1,,-200
CogLoadLineNumber,1,11,Low,100,101,96,1,4,
CogLoadLineNumber,1,12,Low,312,313,128,0,,184
CogLoadLineNumber,1,13,High,212,213,192,0,20,
CogLoadLineNumber,1,14,Low,284,285,128,1,,156
CogLoadLineNumber,1,15,Low,364,233,320,1,44,
CogLoadLineNumber,1,16,High,154,154,160,1,-6,
CogLoadLineNumber,1,17,High,190,190,224,0,-34,
CogLoadLineNumber,1,18,High,104,105,96,0,8,
CogLoadLineNumber,1,19,Low,140,140,192,1,-52,
CogLoadLineNumber,1,20,High,388,388,320,1,68,
CogLoadLineNumber,1,21,Low,384,385,224,1,,160
CogLoadLineNumber,1,22,High,324,325,288,1,36,
CogLoadLineNumber,1,23,Low,328,328,288,1,40,
CogLoadLineNumber,1,24,High,364,364,128,1,,236
CogLoadLineNumber,1,25,Low,332,333,192,1,,140
CogLoadLineNumber,1,26,Low,292,291,352,1,-60,
CogLoadLineNumber,1,27,High,126,126,192,1,-66,
CogLoadLineNumber,1,28,Low,88,185,96,1,-8,
CogLoadLineNumber,1,29,High,252,251,192,1,60,
CogLoadLineNumber,1,30,High,108,108,288,1,,-180
CogLoadLineNumber,1,31,Low,128,129,352,1,,-224
CogLoadLineNumber,1,32,High,80,81,288,1,,-208
CogLoadLineNumber,1,33,High,336,335,224,1,112,
CogLoadLineNumber,1,34,High,256,255,128,1,,128
CogLoadLineNumber,1,35,High,228,227,256,1,-28,
