"","counter","Line","id","response","stimulus","order","when","Sample","trial","bias","response_frames","stimulus_frames"
"1",2652,1,1780,0.505882352941176,0.547058823529412,1,"12/23/16 7:18","mturk",127,-7,86,93
"2",2653,1,1780,0.294117647058824,0.352941176470588,1,"12/23/16 7:18","mturk",128,-10,50,60
"3",2654,1,1780,0.547058823529412,0.676470588235294,1,"12/23/16 7:18","mturk",129,-22,93,115
"4",2655,1,1780,0.541176470588235,0.611764705882353,1,"12/23/16 7:18","mturk",130,-12,92,104
"5",2656,1,1780,0.0647058823529412,0.0941176470588235,1,"12/23/16 7:18","mturk",131,-5,11,16
"6",2657,1,1780,0.741176470588235,0.805882352941176,1,"12/23/16 7:19","mturk",132,-11,126,137
"7",2658,1,1780,0.452941176470588,0.482352941176471,1,"12/23/16 7:19","mturk",133,-5,77,82
"8",2659,1,1780,0.423529411764706,0.417647058823529,1,"12/23/16 7:19","mturk",134,1,72,71
"9",2660,1,1780,0.505882352941176,0.611764705882353,1,"12/23/16 7:19","mturk",135,-18,86,104
"10",2661,1,1780,0.305882352941176,0.223529411764706,1,"12/23/16 7:19","mturk",136,14,52,38
"11",2662,1,1780,0.711764705882353,0.870588235294118,1,"12/23/16 7:19","mturk",137,-27,121,148
"12",2663,1,1780,0.194117647058824,0.158823529411765,1,"12/23/16 7:19","mturk",138,6,33,27
"13",2664,1,1780,0.635294117647059,0.741176470588235,1,"12/23/16 7:19","mturk",139,-18,108,126
"14",2665,1,1780,0.576470588235294,0.547058823529412,1,"12/23/16 7:20","mturk",140,5,98,93
"15",2666,1,1780,0.294117647058824,0.223529411764706,1,"12/23/16 7:20","mturk",141,12,50,38
"16",2667,1,1780,0.452941176470588,0.417647058823529,1,"12/23/16 7:20","mturk",142,6,77,71
"17",2668,1,1780,0.435294117647059,0.482352941176471,1,"12/23/16 7:20","mturk",143,-8,74,82
"18",2669,1,1780,0.623529411764706,0.805882352941176,1,"12/23/16 7:20","mturk",144,-31,106,137
"19",2670,1,1780,0.1,0.0941176470588235,1,"12/23/16 7:20","mturk",145,1,17,16
"20",2671,1,1780,0.0352941176470588,0.0294117647058824,1,"12/23/16 7:20","mturk",146,1,6,5
"21",2672,1,1780,0.276470588235294,0.352941176470588,1,"12/23/16 7:20","mturk",147,-13,47,60
"22",2673,1,1780,0.276470588235294,0.223529411764706,1,"12/23/16 7:20","mturk",148,9,47,38
"23",2674,1,1780,0.647058823529412,0.741176470588235,1,"12/23/16 7:20","mturk",149,-16,110,126
"24",2675,1,1780,0.1,0.0941176470588235,1,"12/23/16 7:21","mturk",150,1,17,16
